timestamp num bytes from host ip seq ttl ping ms
2014-11-25@19:58:11 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3513 ttl=245 time=198 ms
2014-11-25@19:58:12 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3514 ttl=245 time=106 ms
2014-11-25@19:58:13 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3515 ttl=245 time=103 ms
2014-11-25@19:58:14 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3516 ttl=245 time=169 ms
2014-11-25@19:58:15 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3517 ttl=245 time=82.8 ms
2014-11-25@19:58:16 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3518 ttl=245 time=78.1 ms
2014-11-25@19:58:17 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3519 ttl=245 time=69.4 ms
2014-11-25@19:58:18 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3520 ttl=245 time=110 ms
2014-11-25@19:58:19 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3521 ttl=245 time=93.1 ms
2014-11-25@19:58:20 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3522 ttl=245 time=106 ms
2014-11-25@19:58:21 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3523 ttl=245 time=170 ms
2014-11-25@19:58:22 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3524 ttl=245 time=137 ms
2014-11-25@19:58:23 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3525 ttl=245 time=74.1 ms
2014-11-25@19:58:24 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3526 ttl=245 time=11.7 ms
2014-11-25@19:58:25 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3527 ttl=245 time=167 ms
2014-11-25@19:58:26 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3528 ttl=245 time=111 ms
2014-11-25@19:58:27 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3529 ttl=245 time=45.7 ms
2014-11-25@19:58:28 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3530 ttl=245 time=129 ms
2014-11-25@19:58:29 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3531 ttl=245 time=107 ms
2014-11-25@19:58:30 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3532 ttl=245 time=482 ms
2014-11-25@19:58:31 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3533 ttl=245 time=119 ms
2014-11-25@19:58:32 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3534 ttl=245 time=178 ms
2014-11-25@19:58:33 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3535 ttl=245 time=112 ms
2014-11-25@19:58:34 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3536 ttl=245 time=18.0 ms
2014-11-25@19:58:35 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3537 ttl=245 time=162 ms
2014-11-25@19:58:36 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3538 ttl=245 time=62.2 ms
2014-11-25@19:58:37 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3539 ttl=245 time=81.2 ms
2014-11-25@19:58:38 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3540 ttl=245 time=110 ms
2014-11-25@19:58:39 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3541 ttl=245 time=70.5 ms
2014-11-25@19:58:40 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3542 ttl=245 time=91.4 ms
2014-11-25@19:58:41 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3543 ttl=245 time=85.9 ms
2014-11-25@19:58:42 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3544 ttl=245 time=169 ms
2014-11-25@19:58:43 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3545 ttl=245 time=91.3 ms
2014-11-25@19:58:44 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3546 ttl=245 time=12.1 ms
2014-11-25@19:58:45 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3547 ttl=245 time=160 ms
2014-11-25@19:58:46 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3548 ttl=245 time=199 ms
2014-11-25@19:58:47 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3549 ttl=245 time=273 ms
2014-11-25@19:58:48 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3550 ttl=245 time=219 ms
2014-11-25@19:58:49 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3551 ttl=245 time=131 ms
2014-11-25@19:58:50 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3552 ttl=245 time=18.2 ms
2014-11-25@19:58:51 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3553 ttl=245 time=24.4 ms
2014-11-25@19:58:52 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3554 ttl=245 time=102 ms
2014-11-25@19:58:53 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3555 ttl=245 time=298 ms
2014-11-25@19:58:54 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3556 ttl=245 time=132 ms
2014-11-25@19:58:55 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3557 ttl=245 time=217 ms
2014-11-25@19:58:56 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3558 ttl=245 time=372 ms
2014-11-25@19:58:57 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3559 ttl=245 time=31.6 ms
2014-11-25@19:58:58 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3560 ttl=245 time=45.1 ms
2014-11-25@19:58:59 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3561 ttl=245 time=95.9 ms
2014-11-25@19:59:00 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3562 ttl=245 time=192 ms
